year,name,total_pop,total_hisc_pop,total_dominican_pop,state
2006-01-01,Utah,2550063.0,2550063.0,694.0,49
2006-01-01,Vermont,623908.0,,,50
2006-01-01,Virginia,7642884.0,7642884.0,5531.0,51
2006-01-01,Washington,6395798.0,6395798.0,285.0,53
2006-01-01,West Virginia,1818470.0,,,54
2006-01-01,Wisconsin,5556506.0,5556506.0,1813.0,55
2006-01-01,Wyoming,515004.0,,,56
2006-01-01,Puerto Rico,3927776.0,3927776.0,69854.0,72
2007-01-01,Alabama,4627851.0,4627851.0,354.0,01
2007-01-01,Alaska,683478.0,,,02
2007-01-01,Arizona,6338755.0,6338755.0,1584.0,04
2007-01-01,Arkansas,2834797.0,,,05
2007-01-01,California,36553215.0,36553215.0,12863.0,06
2007-01-01,Colorado,4861515.0,4861515.0,892.0,08
2007-01-01,Connecticut,3502309.0,3502309.0,17888.0,09
2007-01-01,Delaware,864764.0,,,10
2007-01-01,District of Columbia,588292.0,588292.0,4767.0,11
2007-01-01,Florida,18251243.0,18251243.0,141948.0,12
2007-01-01,Georgia,9544750.0,9544750.0,8341.0,13
2007-01-01,Hawaii,1283388.0,,,15
2007-01-01,Idaho,1499402.0,,,16
2007-01-01,Illinois,12852548.0,12852548.0,4391.0,17
2007-01-01,Indiana,6345289.0,6345289.0,2013.0,18
2007-01-01,Iowa,2988047.0,2988047.0,178.0,19
2007-01-01,Kansas,2775997.0,2775997.0,170.0,20
2007-01-01,Kentucky,4241474.0,4241474.0,589.0,21
2007-01-01,Louisiana,4293204.0,4293204.0,1130.0,22
2007-01-01,Maine,1317207.0,,,23
2007-01-01,Maryland,5618344.0,5618344.0,6713.0,24
2007-01-01,Massachusetts,6449755.0,6449755.0,83758.0,25
2007-01-01,Michigan,10071822.0,10071822.0,1324.0,26
2007-01-01,Minnesota,5197621.0,5197621.0,830.0,27
2007-01-01,Mississippi,2918785.0,,,28
2007-01-01,Missouri,5878415.0,5878415.0,573.0,29
2007-01-01,Montana,957861.0,,,30
2007-01-01,Nebraska,1774571.0,,,31
2007-01-01,Nevada,2565382.0,2565382.0,2754.0,32
2007-01-01,New Hampshire,1315828.0,,,33
2007-01-01,New Jersey,8685920.0,8685920.0,171001.0,34
2007-01-01,New Mexico,1969915.0,1969915.0,958.0,35
2007-01-01,New York,19297729.0,19297729.0,630742.0,36
2007-01-01,North Carolina,9061032.0,9061032.0,10254.0,37
2007-01-01,North Dakota,639715.0,,,38
2007-01-01,Ohio,11466917.0,11466917.0,1459.0,39
2007-01-01,Oklahoma,3617316.0,3617316.0,317.0,40
2007-01-01,Oregon,3747455.0,3747455.0,463.0,41
2007-01-01,Pennsylvania,12432792.0,12432792.0,35694.0,42
2007-01-01,Rhode Island,1057832.0,1057832.0,33229.0,44
2007-01-01,South Carolina,4407709.0,4407709.0,1048.0,45
2007-01-01,South Dakota,796215.0,,,46
2007-01-01,Tennessee,6156719.0,6156719.0,712.0,47
2007-01-01,Texas,23904380.0,23904380.0,10509.0,48
2007-01-01,Utah,2645330.0,2645330.0,1923.0,49
2007-01-01,Vermont,621254.0,,,50
2007-01-01,Virginia,7712091.0,7712091.0,6868.0,51
2007-01-01,Washington,6468424.0,6468424.0,1743.0,53
2007-01-01,West Virginia,1812035.0,,,54
2007-01-01,Wisconsin,5601640.0,5601640.0,876.0,55
2007-01-01,Wyoming,522830.0,,,56
2007-01-01,Puerto Rico,3942375.0,3942375.0,64922.0,72
2008-01-01,Alabama,4661900.0,4661900.0,943.0,01
2008-01-01,Alaska,686293.0,,,02
2008-01-01,Arizona,6500180.0,6500180.0,2783.0,04
2008-01-01,Arkansas,2855390.0,,,05
2008-01-01,California,36756666.0,36756666.0,8369.0,06
2008-01-01,Colorado,4939456.0,4939456.0,2521.0,08
2008-01-01,Connecticut,3501252.0,3501252.0,21842.0,09
2008-01-01,Delaware,873092.0,,,10
2008-01-01,District of Columbia,591833.0,591833.0,2649.0,11
2008-01-01,Florida,18328340.0,18328340.0,153354.0,12
